,,,,,,,,,,,,,,,
163.33049233333332,,,,,,,,,,,,,,,
186.66341966666667,189.99669466666668,,,,,,,,,,,,,,
169.99704300000002,173.33031800000003,176.6635936666667,,,,,,,,,,,,,
159.9972166666667,156.66394133333336,186.66341933333334,173.33031833333334,,,,,,,,,,,,
166.66376733333334,179.9968686666667,169.99704300000002,176.66359333333335,176.66359333333338,,,,,,,,,,,
169.9970426666667,176.66359333333335,173.33031800000003,156.66394133333336,176.66359333333335,169.99704233333333,,,,,,,,,,
169.9970426666667,176.66359333333338,169.99704266666672,156.66394133333336,176.6635936666667,173.330318,156.66394133333338,,,,,,,,,
439.99234599999994,433.32579533333325,446.6588963333332,433.32579533333325,439.9923459999999,436.6590706666666,433.3257949999999,433.32579533333325,,,,,,,,
443.3256213333332,443.3256213333332,436.6590703333333,446.65889666666646,443.3256213333332,439.9923459999999,443.325621,443.32562133333323,173.33031833333337,,,,,,,
446.6588963333332,443.328348,433.32931233333335,443.3292196666667,443.32922,446.6625220000001,443.32922,443.3292196666667,186.66493466666668,169.9984226666667,,,,,,
443.32922,443.3292196666667,436.662615,439.9959176666667,443.3292196666667,439.9959176666667,439.99591733333335,439.99591733333335,186.66493466666668,169.9984226666667,166.66512033333333,,,,,
443.3292196666667,443.32921966666675,433.3293126666667,439.99591733333335,443.32922000000013,433.32931233333335,439.99591733333335,433.32931266666674,163.33181766666667,173.331725,183.33163233333335,169.99842266666667,,,,
446.6625223333333,443.32921966666675,436.66261533333335,446.66252199999997,446.6625223333333,439.99591733333335,446.6625223333334,449.99582466666664,173.331725,159.99851533333333,163.3318176666667,173.331725,176.66502733333328,,,
433.3293126666666,433.3293126666667,446.6625223333333,429.99601,429.9960103333333,439.99591733333335,439.99591733333335,439.9959176666667,166.66512033333333,186.66493433333335,173.331725,179.9983296666667,183.33163233333332,183.33163233333335,,
439.99591733333335,443.32955133333326,439.9969656666666,443.3302759999999,443.3302759999999,443.33027633333325,443.3302759999999,446.6635863333332,183.332069,169.99882766666664,159.99889666666667,169.99882766666664,186.66537933333328,169.99882766666667,173.332138,
